caption,topic
"So it's settled, I am going to call it Die hard and the seventh seal",22
"So, I guess they don't play chess where you come from, huh?",2
"Checkmate, your mom's dead.",11
"Ha! Got ya! No scythe, no dice!",30
Check!  Or is it Check out?,3
"I can’t cheat you, but I can beat you. Checkmate!",0
I win again! See you in another 30 years.,1
Certain...Ha.  Next I beat Taxes.,5
Checkmate! Now make me immortal!,-1
Mate. But please excuse me if I skip the handshake.,51
I guess we both lose.,1
I strategized while you picked your nose.,55
"Surprising and brilliant. But, you're still dead.",53
"You may have won, but your monarchy will fall to a revolution",1
Ha! I just got my second booster shot.,17
I'm having the game of my life.,4
"O death, where is thy sting?",-1
Yes I am Swedish.  Why do you ask?,49
"Are all your pieces going to be this hot""",-1
Death always gets the last move.,8
"Perhaps you should consider that ""Winning"" may be relative today Steve",1
"So, Mr. Checkmate --- are you sure you want to take your hand off that piece?""",-1
"I may not be able to cheat death, but I can sure checkmate you.",0
Bad move you idiot!  Haven’t you seen “The Queens Gambit”?,24
"Remember that Spanish train that runs between
Guadalquivir and old Saville? Well, it’s payback time.",2
Stale mate! I live.,-1
"Last week, Taxes didn’t see that coming, either!",5
Boosted!,17
Don't cheat me!,0
You know what happens when the game is over?,51
"What, you actually believed me when I said my bishop wouldn't be a threat in that position?",28
Wow! That's checkmate in our sudden death playoff!,-1
"Now I can finally get back to zero excercise, smoking a pack a day, and binge eating cannolis while watching seinfed reruns.",47
I can’t believe I have defeated death again!,21
"Ingmar Bergman’s The Seventh Seal
“The Musical”",16
"Checkmate! Now, I get to be Death.",11
"Um, king me?",7
Haha I told you I’d kill you in this game!,-1
Is that the best you can do? Showing me the middle finger?,12
"Checkmate, mate! Play again?",-1
Let's pretend I'm Roe and you're Wade.,58
Ever since #queensgambit came out it has been harder for death.,6
"You're always one step behind aren't you?""",19
"Actually, your time is up!",18
"Checkmate! That means I win, right......?",31
"You win some, you lose some.",1
You know I can't stand losing and I could take your soul right?,50
Perpetual check!,-1
You think you've won. It never gets old.,1
"I usually point, but in this case I'm giving you the finger!",12
"Now if you’ll excuse me, I’m going to finish picking up that quarter in the street.",-1
Olly olly oxen free!,52
"Laugh now, but I will get you in the end.",71
I got caught cheating death.,0
The king’s at Death’s door now!,7
I just beat Death! Another game?,-1
I guess I still have to pay taxes,5
I didn’t see that coming. Could I interest you in an internship?,72
Double or Something?,46
See. This move is how you go in for the kill.,8
"Two shots,two boosters,sucker!",17
Now I understand why mortality rates have been declining.,-1
"Look at my face, Walt. It…just…doesn’t…matter.",-1
WOW that’s checkmate! So on your way out PLEASE knock on my mother in laws apartment door....she’s in 3,79
"In the end, I always win!",1
I haven't taken my hand off yet!,12
"This is sudden death, I win!",1
Check.  I live.,3
I take it back. Not check mate.,3
"John Donne beats Death in chess match, writes poem.",2
"Checkmate. Still proud?""",9
"I always win in the end, mate.",1
"Beat you today — and I’ll  beat you tomorrow, and every day until I’m 106!",34
Mate! Now you can go to hell!,69
Checkmate!  Better luck next time.,15
Check mate!  That’s my bucket list!,3
Check! I'm dying to see your next move.,-1
"Even if I win, I'll lose.",1
"Checkmate is my line, pal.",9
I saw this move on Queen's Gambit,24
How about double or nothing in Monopoly?,46
Checkmate!  Who says you always win?,-1
You may have won this game but you weren't wearing a mask so you must come with me now.,-1
"That's one helluva poker face you've got!""",-1
Ha! You thought you could outwit and outplay me for my soul. I just have two words: King Me!,7
I’m killing you here.,83
Quit picking your nose and pay attention.,55
Checkmate again! Now I want you to kill my ex-wife Sharon.,15
"So, no taxes either?",5
I'll bet you DID see that one coming.,26
"You can pick your friend, you can pick your nose…",55
So... you've been training Putin.,65
"Jokes on you, I’m already dead inside.",53
That ties it - shall we make it sudden death?,20
Your endgame is too predictable.,10
You never said I couldn’t BEAT death.,21
You can try to win,1
"Check yes, mate no!",3
I'm not sure you understand the implications of your next move.,-1
Short lived victory,-1
"Some would call this move suicidal, I call it a work-avoidance tactic.",8
"How about a round of sudden death after this? Time permitting, naturally...",20
"Soo, what’s my prize?",1
So....  You think that's funny....do you???,71
Don't feel bad. You don't have a brain.,40
"Think you're the only one knows ""The Seventh Seal""?",22
"Man, that game nearly bored me to death.",4
❞These moves are just killing me.❞,8
"Ah Ha! I win, your fate is in my hands now.",1
"I can't kill you, but I can do This!",83
"That's mate.Not so good at other things, are you",3
Does this mean you'll postpone my death until after the Stanley Cup finals?,37
"Pride, you know, is one of the seven DEADLY sins.""",81
"Say, that was fun! How about another game before you take my mother?",79
Checkmate! And thus I outlive Death.,11
Checkmate. What did I win?,31
"I didn’t cheat! Besides, you said you CAN’T be cheated.",0
Check! Your odds are looking rather grim,29
Yes! A death-defying checkmate!,11
You’re about to learn the true meaning of 'end game.',10
"Ha, checkmate! I live!",-1
"No, checkMATE!  YOU are MINE!",-1
"Yes Senator, that move gets you closer.",25
"You may feel confident now, but I've been workig on the end game.",10
"Okay, I captured one of your men so you have to take off an article of clothing.",14
"Welcome to hell, broker boy!",-1
Hand over your scythe.  You have no more moves.,30
"Music is but a pawn, let’s break some rules!",48
Playing with the death..can we ever win?,-1
let me win and I'll let you live.,1
You looked good at the Met Gala.,-1
You're surprisingly uncertain.,-1
Now tell me The Queen’s Gambit wasn’t the best show on Netflix!,24
Hmm. Well played. See you next year.,72
"I won! You know the rules, lose the robe.",14
Checkmate! And I didn't cheat Death to do it!,-1
I wish you had a face so I could see the look on it!,89
"You may win this game, but in the end the match will be mine.",1
He thought he’d made the best move of his life!,8
"You win, but I'm still taking you ""en passant"".",75
Checkmate! So this is why so many people have near-death experiences.,11
How does it feel when someone takes YOUR queen?,6
I saw the movie too. Check mate!,49
"Checkmate! Clearly, you're unaware that I analyzed your every move in 'The Seventh Seal!",22
It's called the Fauci Gambit!,45
Let me explain things to you.,-1
"Checkmate Death. I win again. Back to Hell you go, for all Eternity.",-1
You think I  cheated Death?,0
Check mate or check fate?,-1
Double vaxxed and boosted. I win again!,17
"You can’t win every time, sport.",1
"That is checkmate, again!",9
You have sunk my battleship!,52
This is payback for taking my beagle when I was ten years old.,-1
And you thought you could break my Wordle streak,-1
"Okay you won, see you later",-1
"Mate, that’s checkmate . Now do ya wanta game of  rock, paper, scythe?",30
I beat Death! Didn't I?,21
Leave the Rook.  Take the Cannolis.,78
"Yes, this is my last move. Checkmate",38
That makes forty three full lifespans you owe me.,35
Not today! How about next Saturday?,42
Move it and you're dead.,-1
You didn't see my Hail Mary coming!,26
Checkmate equals death!,11
And now to buy crypto...,-1
"Whadya mean cheat!!
I thought you said nobody could cheat YOU!",0
"If you castle, we'll hassle.",-1
"Time to check out, mate.",3
That'll teach ya to stop pick'en your nose and pay attention.,55
That's some booger you got there alright. Ha - checkmate!,-1
"Best 101 out of 201 now, right?",13
'Check Pal',3
I got end game too.,10
"You can cheat on taxes, but Death always wins",5
"Chess will be the death of you""",2
I’m not your mate!,3
Checkmate! I want Fluffy back NOW!,-1
A deadly move!,8
I haven’t watched “The Seventh Seal” 25 times for nothing!,22
Doden spelar schack,-1
Wanna try strip poker?,2
If you tell me to look over there one more time ...,-1
No king can survive this!,7
Didn’t I see you in the ‘Seventh Seal’?,22
Got'cha !,52
Careful. . . . Checkmate may be your last word.,9
"Netflix likes you for the sequel, but your Russian accent is coming across a little stagey.",-1
Suicide!,-1
But I already killed your king,7
I may have cheated on my taxes but I beat death fair and square.,5
"Hey,no one cheats death!",0
Forget The Seventh Seal. Checkmate!,22
Guess you didn't realize who you're playing with.,4
"You do,you die,mate.",3
Come a little closer so I can crown you.,-1
"Well, of course I cheated.  That's the only way to beat you .",0
"Won’t be my turn again for a while, yeah?",42
Your rules or mine?,-1
Ha! Bet you can't beat that!,34
What happens when an unstoppable force meets Dave from accounting?,0
"I already sold my soul to the Devil for five illegal moves, and this is only the first one.",44
"Win all you want, mate, but the last checkmate is mine.",31
"White man makes fatal mistake, will be given 200 more chances",27
It's your move. I have mate in seventy years.,35
Ha! Checkmate!  And there's nothing you can do about it.,39
Woo Hoo! thats one less state with the death penalty,5
And I won fair and square this time!,0
Death can't be beckoning.  The pandemic is over.,-1
Winner winner chicken dinner,1
"Golly, you sure are awful at chess Justice Alito",66
"Maybe it is beginner's luck, but it's still checkmate.",31
"So, how's the family doing? Still killing people?",-1
IPO by SPAC,91
"Not a smart move Bub. You're now on my next dance
card.",19
"And that’s checkmate. If anyone asks if I cheated death, you tell them I beat you fair and square!",-1
I love your Lord of the Rings cosplay.,-1
Now it's MY turn to play black!,27
"You know, you looked a lot different in The Queen’s Gambit.",24
Sudden Death -- Karma's a bitch!,20
At least I can tell Grandpa I took you first.,32
You sure you understood what I just showed you? Okay! Now you know what to do when chess masters will challenge you with a match of chess to save themselves from death,2
You certainly fit in with the Met Gala theme this year.,-1
Who said we were playing until sudden death?,20
You don't want to beat me.,34
Maybe checkers is more your game.,56
Volodymyr outwits Vlad once more,65
Ha! The Devil said the same thing when I beat him in that fiddle contest.,44
Not so tough without your sickle now are you?,-1
"Ha, I take probiotics. Checkmate",-1
Two-move checkmate! How can you live with yourself?,38
"That’s why it’s called queens gambit, stupid. You chose to sacrifice.",24
"Yes. I know I'm beating you to death. But, what are you gonna do about it?",-1
Checkmate! Now your are mine!,-1
Your clock just ran out of time,18
"In Tijuana we call it, ""Gambito de la Muerto.",-1
Checkmate! Now make me a bluesman!,15
"I gave all of my money to charity, so take that Ghost of Christmas Future!!!",-1
Good news- you won. Bad news- see you next week.,42
"Checkmate!  I win!  
What do you mean, you always win in the end?",31
Check! And I’m willing to accept a draw.,67
You can go to hell.,69
Ok Fred.  You win but I still have the last move.,19
Quit smoking...Check,3
"And I believe in re-incarnation, checkmate!",-1
"But you don't understand, I won.",1
"Ha, checkmate! Whatta ya gonna do about THAT?!",39
"You have to trust me that it’s checkmate, even though you can’t see the board.",9
"Nice move.  But I'm about to take a lot more than your Queen.  

Mike Rossi, Hackettstown, NJ",6
Maybe next time you wont smirk when I say ‘Sicilian Defense!’,73
"Haha, you better check, mate!",3
A grim move Reaper; checkmate.,-1
I insist on a rematch. At my place.,59
HA! Checkmate! Looks like you're out of moves Mister...what did you say your name was?,38
Turns out you can outsmart Death,0
HA!  Now let's see you twerk!,-1
Oh . . . ! You do mind . . . .,-1
Dude. I’ve seen The Seventh Seal like a zillion times.,22
That’s my killer Queen.,6
I call that move ‘The Vaccine.’ Checkmate.,17
I simply kill at chess.,2
Avoided death without even cheating!,0
Whadday say — two outa three?,23
I win! You have to suck my dick.,1
"In chess, it's a disadvantage to be on the dark side!",2
I just remembered I’m a nihilistic atheist.,69
"I know I said I'd rather die than learn to play chess, but I kid!",2
"We started this game when you were 5,Billy.",4
BAM!  Checkmate!  An immortal game!,-1
Checkmate? Welcome to my world!,15
Aaha! I've never seen a Bergman film.,16
Check out this pale horse!,62
Check mate! Give my kids back!,3
"And no, I'm not going for best two out of three.",13
"That's cheating, Death",0
CHECKMATE! Now hand and over the scythe!,30
Checkmate! Now bring Nona back to life.,-1
"Let's play taxes. Heads, I win. Tails, you lose. Your move!",5
Same time tomorrow?,42
I don’t think you understand the end game here,10
If it’s the last thing I do,19
"""Cards instead. Death, do you have any sevens?",37
"Mate, Mate",3
Ha! Checkmate.  Want to go double-my-lifespan or nothing?,35
Move already. I don't have all night.,-1
"Ya, I watched the way you played that knight.",33
You've been demoted to checkers.,56
"Call that one a fools', mate.",3
"Slava Ukraini, you demented bastard!",52
Looks like life is a game of chess after all.,2
Trump is evil!  Checkmate.,82
"Checkmate... and regards from my teacher, Max von Sydow.",9
"I don’t like this cartoon, and I’m not going to submit a caption!",76
Checkmate! Gotcha! You can’t take me yet!!,-1
"Sorry Ted, you’re like everyone else, just a pawn.",48
Checkmate!  Take that Stygian King.,80
"Take that, mister ""Death always wins in the end""!",-1
You're sure that's the right move?,25
Ha! Checkmate! Wha'cha got up your sleeve now?,14
HGH takes Queen!,6
"Ha! I guess beating death isn’t that hard! Now, about those midterm elections…",21
Check under these robes. See a face that cares...mate?,14
"Rock, scissors, paper?",-1
Opp’s…. Just kidding.,-1
"Checkmate! — unless you consider income disparity, white privilege and raw political power as cheating!",5
"Sorry, you lose. Our agreement was that we must remain seated at all times.",-1
Good game. Let’s shake on it.,51
In your face!,-1
And THATS canasta!!!,-1
"Dude, this ain't Wordle",-1
Do you really think that's checkmate?,9
"I won again! And no, I wasn’t cheating, Death.",0
Check and mate! Now you owe ME 2 lives!,3
"Yes, that's right, the game is over.",51
"You checkmate, I terminate.",-1
How's that for white privilege?,27
Bergman is an idiot!,16
"Just because it's all black or white, doesn't make it easy.",27
Carefull now. That move could be fatal.,8
Oh how the turntables have turned.,-1
They didn’t teach you this move in hell?,-1
Hahaha! I don’t know how to play either! Let’s just knock ‘em all down!,4
Checkmate. Now take a holiday.,-1
Checkmate!  And now….,15
"This move is called gotcha this time,mate.",8
Checkmate! I recover!,15
No worries! Best two out of three?,13
Ok so you may have cheated death but your next opponent is taxes!,5
"Checkmate!” “Hmmmm, ditto!",9
Checkmate.  I've got 40 more years.,35
"Ok here’s the deal, if I win I’m giving back your mother in law",79
"Ha ha! You're so busy reaping, you overlooked O-OQa5, the Lazarus Defense!",61
This motherfucker…,-1
Ha! Humanity is saved!,69
Whites moves first. And last! Welcome to America!,27
Queen to Dark Castle.,-1
I guess that's deathmate,11
What are you doing after this? I know a place that makes great soul food.,50
"How about a game of Scrabble next, before you get to work?!",-1
"On behalf of the Western World, that's Check Mate Putin!",65
HAH! Beat that!,-1
"Ah, yes, but wait till you see my counter. Scythe takes Josh.",30
Aha. Now you know what it really feels like to be dead. Check and mate my friend.,3
Hah! I get to live and you have to do the dishes!,32
"Checkmate! Now, hand over the scythe.",30
: It was at that moment that Carl realized that he just beat death,0
It’s not the sacrifice you hoped for.,77
How Dick Clark did it.,8
One more time. Double or nothing!,46
I love Sudden Death Chess. Pay Up!,2
"Well I've got time to kill, let's play this till the end",-1
I guess everyone is blind to manipulative bishops.,28
Looks like you’re doing my taxes.,5
"Checkmate??  No, I meant checkers - checkers!  How about a nice friendly game of checkers?",56
"But, I invented this game.",4
Not the black knight!  Take the queen!,33
"John Eastman said if I used this move, I win.",8
The Seventh Seal? Is that a movie?,22
"Because I could not stop for Death, he kindly stopped for me.",-1
Narcanned again! Best of 7?,13
Checkmate! Now what are you going to do?,39
Ingmar Bergman got it wrong!,16
"Rookie mistake, I am not your mate.",3
"I must warn you, I can be a bit of a sore loser",40
I refuse to permit you to make the winning move!,-1
Your breath stinks!,64
"Another foolish move, Mr Reaper...how about you tell me why you're really here...",36
Why do you get to be black?,27
Your king for my life.,7
"Checkmate, Death! Wanna play again?",-1
Would you like to rethink that checkmate?,9
welcome to the dark side,33
Did you just try to cheat Death?!,0
Now who's surprised by the end?,10
You blinked!,-1
"Aw, don't be a sore loser.",40
I trust my move will not effect your next move.,-1
"Aha, no escape! New game?",4
I might be dead but I'll have to check.,3
Your Mom says hello,79
Are you suggesting that I would cheat Death ?,0
Now we’re even.,-1
I've just won the game of Life!,4
You might want to reconsider that move . . .,25
I’m afraid I have the next move.,19
That's it. It's over. That's a Bergman.,16
"You bet your life I won!
Don't be so grim.",-1
Check mate!  I suppose you'll be back for a rematch.,59
"OK, you win. You have until you spell 'pyrrhic victory'",1
"Really? There? Alright, it’s your funeral.",53
Ha! Mate!  Now give us back Prince!,-1
"Don't kill me for saying so, but you're a lousy chess player.",2
Now that’s an inmortal game!,4
I would think twice before you say checkmate.,9
Checkmate! And don't say we now have to play checkers to decide my fate!,-1
If Mother Earth could play chess against humans,2
Common arm wrestle me,-1
Fortune favors the bold,-1
And now SOMEone has to buy ME lunch!,32
Checkmate! We played for my life. You screwed up with the Queen's pawn counter-gambit.,-1
"Checkmate! Now I can jump out of the plane with no parachute, right?",-1
"I don’t think so, Boney Bro!",76
"G. Reapes: ""Damnit Joel! Stop dragging this out,my arthritis is killing me.""",16
Your king's dead!,7
Time's up,18
Checkmate. Now take off your top.,-1
"All you millennials are alike,thinking you can cheat death",0
Checkmate! You made the same stupid blunder on the beach in The Seventh Seal!,22
There was no cheating this time!,0
"Sorry to rattle you, but you're not the king of deadly moves.",7
"I guess you could say my pawn is being promoted, too.",48
And that's how I met your mother.,-1
"Check Mate, but I can't imagine you having one",3
Mate! You'll have to head back to the underworld.,-1
"Take my king and it’ll be checkmate for you, too",80
Just a hint: I wouldn’t!,-1
"I got you! Where? There, diagonally. Pretty sneaky Sis.",84
"ok, ok, but as soon as you beat me mario kart is next.",34
So this proves that I’m MORE than just a pawn in the game of life!,48
at the end of the game the king and the pawn go back in the same box,-1
You're the one who want the sudden death option.,20
"Harold, you can't wager something I don't want.",-1
You wouldn’t dare,43
Worth it!,4
You think that's checkmate? I'll show you checkmate!,9
"No ""takesies-backsies!""",-1
I call it the von Sydow Gambit.,-1
Hell no!,57
That move will cost you.,25
"Textbook example of winning the battle, but losing the war.",1
Stick this in your Ingmar Bergman!,16
…and that’s how Bobby Fisher got his soul back.,68
"So, life insurance for every soul.",70
Let’s go again … and make it interesting this time?,42
Checkmate! Booyah! Gimme my soul back before they miss me on Wall Street!,41
It's over now!  How do you feel when the shoe is on the other foot?,51
If I let go don't be a poor sport.,-1
Checkmate.  I get the scythe.,30
It’s a win-win for me either way.,1
"Checkmate, one death eater at a time!",11
"I am going to win, and you can do literally nothing to stop me!",1
"Checkmate"" and he breathed a big scyth",9
"Hey, lighten up! That's no skin off your nose, right?",55
"Yes, it does seem like ages, but - checkmate!",35
The Grim’s Gambit,45
”What do you mean it’s the best 2 out of 3.,13
Who's certain now!,87
"You cheat, I cheat/",0
I told you it was a hangnail.,12
You f***ed up,-1
Sure! We can play The Game of Life now!,4
"Oh my, how the tables have turned!",-1
"No offense, but I'd go with checkers in all your upcoming assignments.",56
Got you!,57
"Checkmate! Now you can go straight to…..
Heaven!",82
"Not so fast, my pretty.",-1
That’s ridiculous! I would never try to cheat you…,0
"Until you learn the Swedenborg strategy, you're dead to me.",2
CHECKMATE!! No sudden death for YOU today!,11
What do you mean “ it’s not my checkmate?,9
That time Mr. Lannister cheated death and won.,0
Checkmate! Being a soulless CEO sure has its advantages.,41
Cheat death? No. Beat it? Yes!,0
checkmate! come get me in 20 more years!,35
"Check Mate! Who's got the scythe now, Mr. Grim Reaper?",30
We're not in sudden death yet.,20
"No bishop can save you here, human.",28
"-you can live, you can hide, but you can't hide all your life -OK. checkmate ,less talking more thinking.",-1
COVID takes Bishop!,28
What’s “en passant?”,75
"I may not be able to cheat death, but I can cheat at chess.  Checkmate.",2
Ha! And now for some celebratory hang-gliding.,7
What are the rules again?,-1
"Whoopee, I beat Death, now bring on Taxes""",5
Another game? I’ve got some time to kill.,4
"Not so 'inevitable' now, are you?",-1
"Hmm,you win. I’ll get my scythe.",30
My king for your soul.,7
"Hmm, that's what you call a killer move??",8
"Ha! Bet you're just dying to know how I cheated you!""",0
"Looks like you've been beaten too, Death",21
Try digging yourself out of that one!!,-1
Now you're REALLY dead!,54
"Alright, Grim, hand over the robe and sickle!",14
I just kicked your bony ass!,76
Gotcha...what?,57
"Okay, you won this one.",1
No. There's no time limit in The Grim Reaper Gambit.,45
"That's Eternal Life, right?",60
Let's call it draw and go watch TCM. There's a classic Bergman film on tonight.,16
"You don't scare my Queen --  ""Checkmate!""",80
"I Vladimir, have single Handley taken Mariupol your move.",25
You’re going to pay for that.,63
The end is here!,10
You're so warmed over.,-1
You fell right into my death trap!,-1
This is one endgame you haven't dealt with!,10
"Hey, Pal. I could show you some moves, improve your game.",25
But then...there's always taxes,5
I thought 'Winner Take All' meant money.,1
"Brilliant move, but remember, we play again tomorrow.",4
That was just a practice round.  Mwahahahaha.,67
Another rematch? When will it end!?,59
You think you have the last word?.,71
"You know this is Sudden Death Chess, right?",2
"Checkmate! You're dead, sucker!",11
"Mate? That's all I needed, come over here partner.",3
"I win! You know, for someone whose job it is to take lives, you sure aren't too great at taking chess pieces.",2
"Right now, it's still fun and games.",4
"Before you put your finger bone in your nose, I want to say Checkmate!",-1
"That was great, want to go again ?",-1
Checkmate. Now give us back democracy.,-1
White wins. Who says you can’t cheat death?,27
Checkmate.  I own you.,9
Check. You lose. I beat death. Ha!,-1
Should I bring back my rook or my Nana?,78
"Anythin else to check, mate?",3
"Check mate, hah! Okay, your turn…",3
See! You are in a vulnerable position.,-1
Still not as fun as profiting ON death!,37
"No, this isn't the game of life. Why do you ask?",4
Aren’t you the sore loser.,40
I beat you again. The vaccines work!,17
I cheated death again,0
Sorry Frank. That's only check.,3
"The Court is on my side. 
My win is conceived.  
What are you going to do about it?",-1
A game of life and death.,4
I need to stop playing against Scott Walker fans,-1
Doesn't count if you get off your seat.,23
You fall for that every time!,-1
I knew if I hung in there long enough I would win .,1
Checkmate!  Now how about a rematch?,59
Where’s the guy who beat you last week?,-1
"Raise you 100.
Yah. I know it’s chess but so are you gonna squeal on me?",2
"I've got news for you, Carl. That’s not how I play this game.",4
This is the best match I’ve played in my whole life.,4
"Where, oh death, is thy king? Where, oh death, is thy victory?",7
"And that, my friend, is the triple jump.",7
Now who has the last laugh?,71
Ha! Now YOU’RE buying dinner!,32
Mate! Now you have to take Samuel Olito before you get any more women!,-1
Ha! Not even Death can defeat white privilege.,27
How did you not see that coming!?,26
"Checkmate, Mister Smarty Pants!",15
"Sorry kid, nobody beats death!",21
You check mate me.I check you out.,3
Checkmate Motherfucker,15
"No John, a kale smoothie is not a checkmate.",9
Uh…checkmate?,9
Check and mate! Now you have to resurrect my sense of hope in humanity.,3
That will be the last move you ever make!,19
Checkmate! I get to live and you kill every mosquito that ever comes in my yard.,-1
That's what you get since you always choose black.,27
"This is your last bad move, Vladimir",19
The devil went down to G-3,45
Let’s hope our rematch isn’t too soon…,59
Told ya I’d kill it!,83
Try to open my hand .. I dare you.,43
your endgame is great!,10
Want to up the wager from damnation to eternal damnation?,69
Now give me my booster shot!,17
"Or, how’s this? I go find that kid from 3rd grade and buy him a new hat!",14
"Check mate, I live and you die.",3
"Checkmate!""  ""Putin, you're a dead scumbag!",65
Checkmate! Play again in 100 years?,35
"Your game has got no soul, man",50
"You have to admit, it was a killer move!",8
"I've moved my soul to private equity in a Cayman hedge fund, you can't touch it!",91
"What makes you think I can't cheat, Death?",0
Stop cheating. Black NEVER goes first!,27
Ha! Just try to escape mate now!,3
Do you think I didn't see that coming?,26
"That, my good sir, was a deadly move!",8
You know I could just kill you right,-1
"""""This game is over, check and mate
That will postpone our scheduled date
I don't know when
We'll meet again
But I'm prepared to meet my fate""",4
"For a so-called 'Fourth Horseman,' your knight play is subpar.",62
"I know people who would call that gesture a ""bird flip"".",12
"Come closer, I couldn’t hear you. I’m a little death, I mean deaf…",-1
"Checkmate, Covid. Whaddya mean, no?",17
Please don't pick your nose!,55
"Not to add insult to injury, but you’re breath smells like death.",64
the forbidden checkmate,9
I win! Hand over the cape!,1
Do you really want my queen?,6
That was the game of my life!,4
"Umm, Can I move backwards?",-1
I call it the Heimlich maneuver!,-1
"You're cheating, Death.",0
"Yeah, let's pose for the cartoon",-1
"If you take that piece, you better summon a bishop.",28
Antonius Block the 3rd..,-1
The Pfizer Vaccine Gambit!,17
"Wait, that isn’t called a horse?",62
I’ll just go get us a snack while you think over your next move…,19
What do you mean I can't beat Death? Checkmate.,21
Hah! And you said checkers was unworthy of you.,56
"Say that again, if you dare.",43
The Kasparov Gambit didn't work with Putin either.,-1
Checkmate! I play Taxes in the next round,5
"King me, Vladimir. Thanks for the eternal youth. I hope that my soul burns a hole in your pocket.",7
Check and checkmate: I am now your grim reaper.,86
Check! Your move.,-1
Some actuary you are.,5
"Trust me, once you give us the film rights to The Grimm's Gambit, your public image will be glorious!",-1
Mate! Guess you should've stuck to Wordle.,-1
Fine by me. You play whites and I'll come over to the other side.,27
Yeah. Well I'm a Republican.We know how to cheat.,0
"There are no losses, only lessons",1
I told you we should have played Life,4
"Come hither, my queen.",6
Lashing out would be pointless. Your king is made of plastic.,7
Deathmate!,11
Chess is LIFE!,2
Let’s make it double or nothingness…,46
I'll have what she's having.,6
"Dang, I left my scythe at home!",30
My horsey guy traps yer tall guy...Do I live?,62
Wadaya mean you’re not a dead head???,37
Now let's get something to eat.  You're all skin and bones.,47
"Q1-Q7, mate!",-1
"You're winning on a technicality, but okay.",1
"Where's your nose?  I've got your nose... "" ""No, it's right here.... AHHHH"" .",55
Beating death.,21
I'll let you in on a secret...all my wins have been on time...,1
"Not so grim anymore,is it?",29
Jubilant Jason moments before realizing  that Death follows no rules!,0
"if I lose, it's rigged",1
"If only Death were as certain as Taxes, am I right?",5
You don’t have long now.  I took your queen.,6
I've been training against Deep Blue...,27
Now hand over the fiddle,44
Check mate -- unless you're interested in a a deal!,3
The end game is what I’m best at,10
Queen me.,6
Nice end game Steve.  But I've got one more move,19
"Check! It's mate in three moves, and there *nothing* you can do about it.",38
Does this look like the face of someone who minds waiting?,89
"Loved you in The Lord of the Rings, by the way",-1
Big Pharma Exec: Checkmate! Looks like we get another lifelong customer!,39
Should I launch a surprise in the middle or draw it out until the end?,10
"You're going to kill me, but that's checkmate.",-1
I win! Now I get to die! You promised!,1
Checkmate! Now you HAVE to explain why she throttled me after I told her I thought Roe V. Wade was a shoe store.,58
Checkmate atheists!,82
"""I think I can checkmate you, Mr. Death.""",11
"I saw the movie, too.",49
Is that a booger?,-1
Winner takes all!,1
"Step two, cut a hole in the table and chessboard… step three, reach through and voila!",2
I binged Queen's Gambit and stayed in a Holiday Inn Express last night.,24
"Is this a game of Life and Death?""",4
Don't underestimate the power of the dark side.,33
"Oh enjoy this moment while you can, you just won my job",-1
Mate! And I don't mean friend.,3
Is the suspense killing you?,-1
"I represent women who have died from illegal abortions.  They want to have a talk with you, Mr. Alito.",66
Checkmate!I don’t pay taxes either!,5
You’re cheating.,0
Watch my lips. DON’T YOU DARE.,43
I'll see you same time next year !!,72
"... and if  I do this, you're dead but maybe that's being redundant??...",53
Check Mate. Want to make it two out of three ?,23
"Checkmate, you bony bastard!",15
Trying to win? Big mistake!,1
That's a killer move!,8
Does this  mean that I don't have to get my Covid vaccine?,17
I have to be aggressive. You're well known for your end game.,10
Double or nothing in a motorcycle race?,46
"Take that,life expectancy.",-1
BONE YA!,76
I can't believe you fell for the Ingmar Bergman Defense AGAIN!,16
Same time next week?,42
I'll keep my hand atop this rook for the next fifty years if you don't mind.,78
Looks like Bill and Ted were right about you after all,74
Fool.  I don’t go to the mattresses without a queen up my sleeve.”,6
"You reap what you sow, Loser!",61
You’re killing me with these rookie moves!,8
I am tired of reaping what I saw.,61
Ha! You thought you could beat me!,34
"So ya gonna buy that car now, or what?!",70
Should I be worried you're flipping me the finger?,12
"You see,I told you. The Ukrainians have a chance!",88
Aaaaand you owe me a Coke!,-1
I am the one who checkmates.,9
It’s the next move that you didn’t see coming.,19
Never play f3.,4
Checkmate - the River Styx franchise is mine!,-1
« They said you couldn’t beat death »,21
You might think you have checkmate but I'm sure you'll never survive the endgame.,-1
Wait until everyone hears how I beat death!,21
Check mate? More like dead mate.,3
That was the Kiss of Death.,43
Checkmate. Can i leave now?,39
No one beats Death at chess and lives to talk about it.,2
"Wait, the pointy one can go diagonal, right?",84
That was easy. Best out of three?,13
It's a ring. That means we are engaged!,12
"It’s just I have lots of practice playing against you: I smoke, I text while I drive, I bring up politics during Thanksgiving…",4
Ha!  See that!  I can cheat death!,0
You’re not my father,54
"Ha ha, Checkmate!!  Ah but you forget who has the last laugh.",-1
Is this where the spinach is?,47
Your pal Keith Richard’s taught me!,-1
You’re officially dead to me!,54
You should have seen Tax’s face when I beat them too!,5
"If that move makes you upset, I'll take it back.",25
"Next time, I choose the game.",4
"Your queen is DEAD, your bishops are DEAD and so on.  Got the picture, pal?",28
"The Grim Reaper community feels that humans using the expression ""checkmate"" is, quite frankly, cultural appropriation",86
Your endgame is not nearly as convincing as your game face.,10
