,caption,topic,aggregated_theme
44800,"i think the last time i asked the maid to dust the furniture, she got a bit overzealous.",-1,Family roles
44798,she really was maid to be our guard...,-1,Family roles
44797,"her highness has a  new throne -
a  hammock to sit on?",-1,Family roles
44794,mom says she needs to axe us something...,-1,Family roles
44791,your sister is taking the throne so it’s only fair that you take the hammock.,-1,Family roles
44790,mum says she's going to circumcise us royally.,-1,Family roles
44820,"leslie, please stop reminding me i was made in one of your tubes.",-1,Family roles
44816,"i'm sorry to tell you this ms. welton, but you're under qualified.",-1,Family roles
44763,whenever we hang out she acts like she wants to cut off your head,-1,Family roles
44762,your mother and i think  it's about time you go out and pillage on your own.,-1,Family roles
44758,« but mom said it was my turn today »,-1,Family roles
5172,"after her dream about marie antoinette, she had this designed.",-1,Family roles
5171,she swears it's the only way to travel stagecoach.,-1,Family roles
5167,"oh, she gives you that come hither look but no one can get to her.""",-1,Family roles
5164,her ladies fashioned it to save face.,-1,Family roles
5163,id like to grab her by the poofy.,-1,Family roles
5158,she started wearing it just before she passed the witch-dunking test.,-1,Family roles
5157,did she just call me a fompf?,-1,Family roles
44788,and then what happened? did the cult lady get confirmed?,-1,Family roles
44787,i looked her in her optical nerve and i said “biiiitttccchhh”.,-1,Family roles
44784,if we avoid eye contact with her we can relax here for two more hours,-1,Family roles
44783,"two things you should know:  1. we're jewish,2. she's a mohel",-1,Family roles
44777,i mentioned we were swingers and she asked if she could stop by.,-1,Family roles
44776,and then she said; if you tell anybody what we did on this hammock i’m gonna chop it off,-1,Family roles
44737,"now you've done it, mom's not letting us out until our countries make peace!",-1,Family roles
44736,do you think this is what mother meant when she said share the throne?,-1,Family roles
44730,i just hope that she remembered to cut the crust off.,-1,Family roles
44729,this new cotton throne lacks some of the wow factor of the iron throne. but summer is coming!,-1,Family roles
5188,she wouldn't stop practicing the flute!,-1,Family roles
5186,she appears to be growing into it.,-1,Family roles
5180,pray tell! was that lady narcolepsy?,-1,Family roles
5177,she likes it ruff.,-1,Family roles
44756,"i know, i know...you can take the girl out of crown heights but you can't take blah blah blah.'",-1,Family roles
44747,your mom has finished chopping the veggies.,-1,Family roles
44746,"my mom is still waiting to hear your decision on the guest room.""",-1,Family roles
44745,i thought for sure we'd love it after i used the one at the duke's summer palace.,-1,Family roles
44742,i think mom has gone way overboard with the twin thing.,-1,Family roles
44741,and then she said “let’s do something more contemporary”.,-1,Family roles
44770,guaaaarrrdddsss!!!  the queen has run hammock!,-1,Family roles
44766,mom got the royal bunk beds in the divorce,-1,Family roles
44694,do you think she’ll let us play on the trampoline too?,-1,Family roles
5203,"and yet, her demeanor is quite unruffled!",-1,Family roles
5202,it's hard for a woman with a small ruffle to a be a 10.,-1,Family roles
5201,m'lady really likes it ruff.,-1,Family roles
5198,it's to keep her from scratching her ears.,-1,Family roles
5195,she fell through her tuffet!,-1,Family roles
5192,this will keep her quiet until the next fad.,-1,Family roles
20481,my daughter isn’t speeking to me.,-1,Family roles
44720,do you think your mom would let us eat cake?,-1,Family roles
20480,i've wanted one ever since i was a little girl but it's not quite the same now.,-1,Family roles
44718,the queen mother does so enjoy the hammacher schlemmer catalog. do you have any idea where she put the thrones?,-1,Family roles
44717,i think the lady called us a banana split...,-1,Family roles
44715,"i know, awkward, but she likes to watch.",-1,Family roles
44714,not exactly what i meant by “summer palace.”,-1,Family roles
44740,"mom, we’re ready for the real canoe now!",-1,Family roles
44739,i should have overruled you and got a queen-size hammock.,-1,Family roles
44662,"for the seventh time, my queen.  you  swing to your left and i swing to my right.",-1,Family roles
44692,"this has been a fun swing, but i best get back to my wife.",-1,Family roles
44684,"i’m not afraid of her, i just need some support.",-1,Family roles
44682,she said i was snoring too loudly - what are *you* in for?,-1,Family roles
44681,"wow! i loved that movie. jessica chastain gave an amazing performance.""",-1,Family roles
44680,"...and  ta-da, a summer palace!",-1,Family roles
44679,found it when i was cleaning out my aunt’s dungeon.,-1,Family roles
44678,i thought your sister was still selling scented candles.,-1,Family roles
44677,let her watch.,-1,Family roles
5211,she likes it because it looks good. i like it because she cannot speak!,-1,Family roles
5206,we must find the genius who figured out how to muzzle a woman with her consent.,-1,Family roles
44707,"why yes, this was my mother's. why do you ask?",-1,Family roles
44705,you said covid wouldn’t change our autumn vacations...,-1,Family roles
44701,"if she wasn't carrying a broad-axe, i would remind her that i requested a ham hock",-1,Family roles
44700,"honestly, it's not what i expected when you said, ""the queen and i swing.""",-1,Family roles
44699,our summer castle begs for this sort of ambience.,-1,Family roles
44651,"it's not like we could have done anything anyway, with her there all the time.",-1,Family roles
44650,our summer palace is lacking that certain sense of majesty.,-1,Family roles
44648,this will have to do as our daughter is teaching her seminar on zoom in the throne room.,-1,Family roles
44647,"divorced, beheaded, died, divorced, beheaded, bought a hammock?""  not sure it has quite the right ring about it catherine",-1,Family roles
44645,"funny, my five previous wives weren’t crazy about the hammock either.",-1,Family roles
5236,i think that she hopes it will prevent her from suffering the same fate as marie antoinette!,-1,Family roles
5234,"when you're with her, avoid any pillow talk.",-1,Family roles
5230,a bit puffed up about herself if you ask me.,-1,Family roles
5228,it's her fault. she never showed up for her final fitting.,-1,Family roles
5226,i'd hate to be her executioner.,-1,Family roles
5222,i heard it's because she spits when she talks...,-1,Family roles
44674,"when you said you and the queen were swingers, i was thinking of something a little more exciting.",-1,Family roles
44667,i arranged for a fun royal date night. and then you invited your mother?,-1,Family roles
44666,stop tickling my feet. i’m telling mom!,-1,Family roles
44664,so we’re all set—my mom called your mom and she says we can have a sleepover!,-1,Family roles
44663,does she know which way you swing?,-1,Family roles
5249,i haven't seen her around,-1,Family roles
5248,what did she say?,-1,Family roles
5246,my lady says she will wear it until she can fit into her summer corset,-1,Family roles
5245,her majesty believes it protects her against ruffians.,-1,Family roles
5244,rumor has it her head tilts severely to the right when she removes that thing.,-1,Family roles
5243,she fancies herself as upwardly mobile.,-1,Family roles
5238,"clunky yes, but it keeps her from licking the marigolds and nettles!",-1,Family roles
44644,my mother will go back home soon. a few more days in the guest throne won't kill you!,-1,Family roles
44641,i thought your sister was still selling the scented candles.,-1,Family roles
44639,forgive me my fair lady but the spoils of war are not what they used to be.,-1,Family roles
44638,it’s the summer throne.,-1,Family roles
44636,"so much for the queen's english.
i ordered ham hocks for two.",-1,Family roles
44631,how long until we can ask your mother for the gift receipt?,-1,Family roles
44629,"well, it is the summer palace.",-1,Family roles
44659,"the queen took it to the ""antiques roadshow"" to have it appraised.",-1,Family roles
44656,this is a prototype - the final design will be stone of course,-1,Family roles
44597,"yes,there was a second chaise lounge but when cheryl left last year,she took it with her.",-1,Family roles
5268,"thanks, i designed it specifically to gag her, subjugate her, and keep her close to home, but, it also acts as a flotation device.",-1,Family roles
5267,she's also sometimes called the no-necking queen.,-1,Family roles
5264,"she's betrothed, and then some.",-1,Family roles
5262,"did she say, “couture” or “up yours”?",-1,Family roles
5261,she must be from the ruff side of town,-1,Family roles
5260,thank the good lord i was able to persuade her to leave her bonnet at home.,-1,Family roles
5255,she's blaming the humidity,-1,Family roles
5254,do you think she's compensating for something?,-1,Family roles
44626,"i think you took this ""summer palace"" concept a bit too far.",-1,Family roles
44625,"i get that we have to be six feet apart, but does your mother really need the axe?",-1,Family roles
44623,she got the throne in the divorce.,-1,Family roles
44619,"the professor was the sire , mary ann was the dam . they say mister howell paid $100,000 to watch .",-1,Family roles
44614,she told me you always played by the rules.,-1,Family roles
44613,the island has one saving grace. it’s a sand bar.,-1,Family roles
5252,you'd never guess that she was a no-frills kind of girl in high school.,-1,Family roles
44590,top her off will you?,-1,Family roles
44588,you gotta try this summer fridays thing.,-1,Family roles
20479,would you look at the rack on her!,-1,Family roles
5283,she's a reluctant volunteer at this year's village festival kissing booth.,-1,Family roles
5281,she's trying not to make a statement.,-1,Family roles
5279,poor elizabeth. she looks rather ruff today.,-1,Family roles
5277,have you heard any word she just said?,-1,Family roles
5270,i heard she likes it ruff.,-1,Family roles
44611,where is she?,-1,Family roles
44610,"it always starts with a woman. then you blow out your flip flop. margarita, brah?",-1,Family roles
44609,"hank, now go back and tell my future ex-wife, she will not get archie comics.",-1,Family roles
44607,"my family’s great. i’m running away from the news.” - rebecca riegelhaupt, london, u",-1,Family roles
44606,-  all you need is a coconut and a star to steer her by,-1,Family roles
20476,did i ever tell you about the tragic ending of my daughter's seven-year-old birthday party?,-1,Family roles
20471,karen made me get rid of all my rifles. so now i'm super into etsy hunting.,-1,Family roles
44599,"well well well, if it isn’t the palm tree that’s been fucking my wife",-1,Family roles
5300,she is the new model for fyrestone,-1,Family roles
5299,it covers up her mustache.,-1,Family roles
5298,"i believe she said ""let them eat starch.""",-1,Family roles
5297,she's keeping her suitors at arms length,-1,Family roles
5294,she's been rehearsing her roll.,-1,Family roles
5290,she's going through a ruff patch.,-1,Family roles
5287,she must be using a little too much of that new ring-around-the-collar detergent.,-1,Family roles
5285,just another example of her ' holier than thou' attitude.,-1,Family roles
44580,you can swim right back to my wife ant tell her i ain't coming back. she  can go ahead with the divorce!,-1,Family roles
44577,"yes, this is what you abandoned your job, wife, and kids for. and no, there aren't any more beach chairs.",-1,Family roles
44576,"sydney, relax!  the 'coconut umbrella drink coalition' is killing 'em in the off shore moderate palm tree island states!""",-1,Family roles
44575,"thanks for coming with my approval of your raise to sign, but i signed it and left it with karen in the office before leaving. didn't you get the message?",-1,Family roles
20470,"yep, i crushed the dreams of 10 million little girls. worth it, right?",-1,Family roles
20963,"well, sure, it was a breathtakingly magical blessing of wonderment until, ya know, i shot her with the ar-15.",-1,Family roles
44593,"look, i'd buy you a drink but the waitress just swam for home.",-1,Family roles
44592,"sorry, she decided to swim for it.",-1,Family roles
44521,neighborhood’s more star-studded than beverly hills.,-1,Family roles
44520,"sure, it’s a bit out of the way, but your  mother-in-law is unlikely to visit.",-1,Family roles
44518,"it’s much cheaper than beverly hills, and you’re living around even more stars!",-1,Family roles
44546,"is really close to downtown, trust me to commute from her is easier that you’d think",-1,Family roles
44544,and this is where the former owner's mother in law stayed.,-1,Family roles
44543,"just remember, my very enthusiastic mother just served us noodles!",-1,Family roles
44542,"pluto throws the parties of the neighborhood. watch out for venus, shes the neighborhood ""karen"".",-1,Family roles
5315,she always has to one-up everybody.,-1,Family roles
5301,"yes, you're quite lucky she only bit your arm.",-1,Family roles
44564,"gilligan, the professor, mary ann and all the rest left in the 60s.",-1,Family roles
44561,i ordered a woman.,-1,Family roles
44554,your mother sent me.,-1,Family roles
44552,it's only a stone's throw from the moon,-1,Family roles
44551,"the owner will remove the vampire devil woman before closing, and you really can't beat the view.",-1,Family roles
44550,and it's just a stone's throw from earth!,-1,Family roles
44549,"sun, this is your space"" ""ooh! mom, love you to the moon and the saturn",-1,Family roles
5332,"yes, i heard she likes it very ruff.",-1,Family roles
5331,i guess it works- she used to be 20 stone weight!,-1,Family roles
5330,she's had work,-1,Family roles
5327,"i say, her ruff doth runneth over.",-1,Family roles
5325,she walks around all day with her head in a cloud.,-1,Family roles
5321,she got it from miss muffet.,-1,Family roles
5319,she has it ruffer than most.,-1,Family roles
44510,i think your mother-in-law will love this little cottage!,-1,Family roles
44507,and here is the “mother-in-law” suite.,-1,Family roles
44506,it's considered beverly hills-adjacent-adjacent-adjacent-adjecent-adjacent.,-1,Family roles
44505,i know i told her we wanted something near the shuttle but i meant the one at 42nd street.,-1,Family roles
44504,i bet they are taking her to a better country.,-1,Family roles
44529,now i know why you said she explained everything as out of this world.,-1,Family roles
44528,the lady will love the scales in this house.,-1,Family roles
44527,i was hoping to be a little further away from my mother-in-law.,-1,Family roles
44526,and this is where the nanny killed herself.,-1,Family roles
44446,should i get that stuff from victoria’s secret?,-1,Family roles
44443,let's take her into the piney woods and eat her.,-1,Family roles
44437,the queen is dead. long live the queen!,-1,Family roles
44463,"should’ve stopped drinking when they asked, laura.",-1,Family roles
44462,"bet she couldn't clap those hands, huh?",-1,Family roles
44457,did her test come back negative yet? i’m hungry.,-1,Family roles
44469,"we should take her out to the deep woods. no, you fool, that's where the big mosquitos are",-1,Family roles
5347,"i think i heard her say, ""no tongue shall trumpeth my ruby lips.""",-1,Family roles
5345,me thinks the shrew has been tamed by her costumer.,-1,Family roles
20959,"i saw her dancing about, prancing and skipping around like she was all that.",-1,Family roles
5335,if she sneezes that ain't gonna work,-1,Family roles
44499,bargain priced tickets on a no-name airline! “what could go wrong?” she says.,-1,Family roles
44493,she looks like a good lord,-1,Family roles
44491,we’ve come for your daughter chuck!” -beetlejuice 198,-1,Family roles
44489,i guess they *do* love her” — inspired by @jtfirstman’s impressions 🦟,-1,Family roles
44486,i guess the asian giant hornets like women.,-1,Family roles
44415,looks like they've mistaken you for a giant 'murder' hornet queen and by taking you they're getting away with murder.,-1,Family roles
44412,"i figured it was a good thing, you know, they like her better.",-1,Family roles
44409,take it easy guys she's not from minnesota.,-1,Family roles
44407,set her down anywhere.,-1,Family roles
5363,that's one way to shut her up,-1,Family roles
5359,"nah, then she couldn't breathe.",-1,Family roles
5358,what think you? her personal injury lawyer doth straight dream on fees!,-1,Family roles
5357,she got new braces.,-1,Family roles
5350,well that's one way to cover up her mole.,-1,Family roles
5349,so look at her with her nose in the air!,-1,Family roles
44436,"madame, your spa treatment is ready.",-1,Family roles
44435,"no they aren't flying monkeys dorothy, that was three generations ago. drone murder hornets are all the rage this year.",-1,Family roles
44432,"gosh, gloria. what scent are you wearing?",-1,Family roles
44428,"no citronella candles she says, now do you believe me?",-1,Family roles
44425,"sorry mate! when one's gotta go, she's gotta go",-1,Family roles
44422,"being carried away for being a girl """,-1,Family roles
44381,you two alone can't lift her. call your chums!,-1,Family roles
44378,the lady has disappeared. leaving behind only this synthetic slipper,-1,Family roles
44377,"damn karen, why do you always have to be a buzz kill",-1,Family roles
44376,"she’s not my type. maybe you’ll have better luck, guys",-1,Family roles
44375,but you said you were into the wife swapping thing.,-1,Family roles
5379,"who her? why, that's madame axle.",-1,Family roles
5377,i'd call her,-1,Family roles
5374,they all say she's a roughneck.,-1,Family roles
5373,"otherwise, i would have to blow her dowery on bridge-work.",-1,Family roles
5370,it matches the lady's ego.,-1,Family roles
5366,i like a woman with a head on her shoulders!,-1,Family roles
44403,we decided this was not a good time. oh and she just sneezed.,-1,Family roles
44398,"all we need to end 2020 is a swarm of locust""  she said...",-1,Family roles
44394,and we were worried about gmo yellow summer squash,-1,Family roles
44393,you only have to worry if she starts nibbling on your head . .,-1,Family roles
44416,eat now!  the big guys in the woods will take her from us!,-1,Family roles
44327,she looks sweeter.,-1,Family roles
5395,"she used to be known as ""the gentle queen"", but she's all ruff now...",-1,Family roles
5394,"she's italian royalty you know, it's her fall wheel of parmigiano-reggiano.",-1,Family roles
5393,at least i think that's the girl with the pearl earring.,-1,Family roles
5391,i hope she doesn't have to sneeze.,-1,Family roles
5388,it's the only way she can maintain her stiff upper lip.,-1,Family roles
5387,she's just playing hard to get.,-1,Family roles
20957,shooting her was easy. getting to equestria was the hard part.,-1,Family roles
44349,"i said ""wife swapping,"" not ""wife wasping.""",-1,Family roles
44347,she was always so alienating.,-1,Family roles
44344,i always knew i'd find her waiting in the wings.,-1,Family roles
44343,"judy, just ignore them and they won't bother you!",-1,Family roles
44371,"it's always one thing after another with you, jasmine!",-1,Family roles
44360,i’ll have what she’s having!,-1,Family roles
44386,she went to the trouble of staging a zoom kidnapping,-1,Family roles
44383,"she's perfect for our 'end of summer' barbecue.""",-1,Family roles
44293,just doing her a favour,-1,Family roles
5412,"she's originally from green bay, wisconsin.",-1,Family roles
5411,she hasn't been the same since the cleaners started using starch.,-1,Family roles
5410,she supersized it.,-1,Family roles
5409,"she said she wanted no frills, but the tailor gave her mo' frills.",-1,Family roles
5407,it was her mother's idea.,-1,Family roles
5405,i say marry her. look at all the money you'll save on kleenex.,-1,Family roles
5404,she had too many opinions on woman's rights,-1,Family roles
5401,she's overcompensating.,-1,Family roles
44324,"australia! australia! australia! who suggested paris in the summer, when it sizzles, hmmm? was it, moi?",-1,Family roles
44321,you might like to know she's not so sweet.,-1,Family roles
44318,"believe it or not, melissa, the department of health said they were even worse last year.",-1,Family roles
44315,such a drama queen.,-1,Family roles
44313,"susan, just let them sting you and then they’ll leave us alone.",-1,Family roles
44338,"i know but you said you wouldn't get on an airplane. say ""hi"" to your mother for me.",-1,Family roles
44332,just smack her. if you scare her they’ll be back,-1,Family roles
5424,so she doesn't scratch her ears.,-1,Family roles
5421,they say it allows her to nap while walking.,-1,Family roles
5420,i wouldn't want to be behind her in the airport security line!,-1,Family roles
5418,in past years her bite was worse than her bark.,-1,Family roles
5415,we only wish her vow of silence were somehow quieter.,-1,Family roles
5413,wow..... she must really like charmin,-1,Family roles
44290,i expect you remind them of their mom.,-1,Family roles
44288,take it easy. she's ticklish.,-1,Family roles
44287,"sorry, i have another woman flirting in tomorrow.",-1,Family roles
44280,set her down gently.,-1,Family roles
44279,please take her away.,-1,Family roles
44277,"susan, please, we have to go. the costco closes in 45 minutes, put your shoes on.",-1,Family roles
44307,stop being such a drama queen.,-1,Family roles
44300,isn't she so sweet?,-1,Family roles
44299,what’re you just going to sit back and watch...!? i can’t hold her much longer!,-1,Family roles
44296,the wife-snatching hornets have arrived.,-1,Family roles
44235,"yes, she’s o-.",-1,Family roles
44233,"this one looks juicy, let's try her first!",-1,Family roles
44231,"quick, take her into the woods before the big guys get here!",-1,Family roles
44229,"hey mister, mind if we borrow the little lady?",-1,Family roles
20956,this one was hiding in my daughter's toy chest.,-1,Family roles
5440,"yeh, she likes to keep her head on straight.",-1,Family roles
5434,she ruffled too many feathers.,-1,Family roles
5433,she's in the top one-percent.,-1,Family roles
5432,it's to keep her from biting her rings.,-1,Family roles
5430,she likes to play ruff.,-1,Family roles
44270,"bubba.  rocko.  this is julie, the yard fogger.  i'll be inside.  the game is starting.",-1,Family roles
44269,she was driving me bzzzzzrk,-1,Family roles
44267,"excuse us,madam. we're in need of your contribution",-1,Family roles
44262,"we are all bored during this pandemic, donna, but i guess that experiment of putting growth hormones into the  birdbath to ""see what happens"" wasn't the best idea, was it.  where's the flyswatter?",-1,Family roles
5428,"recently, she's been a little uptight.",-1,Family roles
5425,she's been reading that nora ephron book.,-1,Family roles
44182,that's not what i meant when i told her to 'buzz off'!,-1,Family roles
44181,they are drones who have chosen you to be their queen.,-1,Family roles
44211,"hey, hands off of her.  she's not that sweet!",-1,Family roles
44209,i never said being an actress in a b-movie would be easy.,-1,Family roles
5460,i can't help but think of ye krispy kreme when i see her.,-1,Family roles
5459,she mistakenly dried it on the air fluff setting,-1,Family roles
5457,what do you think she's compensating for?,-1,Family roles
5453,she must be really noble.,-1,Family roles
5447,did she say she's miffed or muffed?,-1,Family roles
5446,t'was the only way we could stop her gossiping.,-1,Family roles
44228,have her back by midbite!,-1,Family roles
44221,wait - her sandal!,-1,Family roles
44220,"it’s cool ,we’re just taking her for pumpkin spice.",-1,Family roles
44216,taker her please! she already bled me dry,-1,Family roles
44213,"wait, she is a legal citizen.",-1,Family roles
44243,"and at the instant she knew, she ceased to know.",-1,Family roles
44120,take her to your leader.,-1,Family roles
44147,"well, at least she died how she lived...
being dragged around by horrifying oversized mosquitos.",-1,Family roles
44142,"go ahead, she’s not my type",-1,Family roles
44138,"no, karen, those aren't murder hornets!",-1,Family roles
44134,ma’am your chair has just collapsed and we are trying to help you.,-1,Family roles
44177,"come on, carol. you didn’t really expect me to splurge on that hot air balloon ride.",-1,Family roles
44171,i guess we better take her away before she really starts to bug you.,-1,Family roles
44166,"maria...every time you explain why you’ll never hurt a fly, you get carried away!",-1,Family roles
5475,it can't be good -- her physician recommended less starch.,-1,Family roles
5472,she looks tired.,-1,Family roles
5470,she'll have to keep a stiff upper lip.,-1,Family roles
44189,"well, you can’t bring her back!",-1,Family roles
44188,"omg alice, when was the last time you cut your toenails?",-1,Family roles
44187,"the murder hornets clearly said 6 feet apart, karen. now you’re down to one shoe and zero pride.",-1,Family roles
44184,my tiny mother told me there'd be days like this.,-1,Family roles
44183,"wow, you should have not answered that ""queen wanted"" ad!",-1,Family roles
44113,"who’s the buzzkill now, debra?",-1,Family roles
44109,"you took acid again, didn't you megan",-1,Family roles
20955,"yeah, i'm proud. so rare she might be the last of her kind.",-1,Family roles
5492,the condo association asked her to wear that when she's doing her opera practice.,-1,Family roles
5491,she has a serious drooling problem.,-1,Family roles
5487,she's never bothered with ruff drafts!,-1,Family roles
5484,at least it shut her up.,-1,Family roles
5481,her doctor doesn't want her to scratch her ears.,-1,Family roles
5479,it's limburger. if she can eat her way through that she deserves to be freed.,-1,Family roles
5478,"she has to use very long chop sticks!""",-1,Family roles
44132,"oh, one more thing ... is her fear of heights a deal-breaker?",-1,Family roles
44131,relax. you'll be at your mother's house in no time.,-1,Family roles
44130,"my edible hasn’t kicked in yet, how do you feel katherine?",-1,Family roles
44129,bite her? i just met her,-1,Family roles
44128,"darn it, karen, you used the wrong bottle again. you're supposed to use ""off"" ... not ""on""!",-1,Family roles
44123,you can have this one back: she’s b negative.,-1,Family roles
44053,"sorry, dear. i swatted their mother yesterday and had to make a deal.",-1,Family roles
44083,"how come it's always about you, madeline?",-1,Family roles
44080,6-feet apart lady!,-1,Family roles
44078,take her.  you’ve earned it.,-1,Family roles
44073,"damn, that was mom's favorite chair!",-1,Family roles
44072,"give it some time, emily.  they’ll help relieve your itching.",-1,Family roles
5506,she's inciting locker room talk again.,-1,Family roles
5505,elizabeth has so much more confidence ever since she got ruff enhancement.,-1,Family roles
5501,poor thing. i hear she suffers from narcolepsy.,-1,Family roles
5494,says she's been in it ever since she was a michelin baby.,-1,Family roles
5493,i didn't realize she's a packers fan.,-1,Family roles
44098,give your mother my regards.,-1,Family roles
44090,not yet. she'll buzz you when she's ready.,-1,Family roles
44088,goddamn it karen! i told you that natural stuff doesn't work!,-1,Family roles
44086,remember to bow to the queen. she'll be the large one.,-1,Family roles
44114,"uhhh, denise, you’re getting carried away again.”",-1,Family roles
44032,you sound like your mother.,-1,Family roles
44031,were bringing her back...she's just not our type!,-1,Family roles
44030,"it seems the 'media's killer wasp reports are not more 'fake news' as you assumed, laura.",-1,Family roles
44028,"goddammit, elena, is it always about you?",-1,Family roles
44026,"kids, put your mother down..",-1,Family roles
5522,annie was instantly recognised by her catch-fraise,-1,Family roles
5521,she took a bow of silence.,-1,Family roles
5516,she has a reputation for speaking off the cuff.,-1,Family roles
5512,i think she used too much fabric softener!,-1,Family roles
5511,"there she goes again with her ""rufflier than thou"" attitude.",-1,Family roles
5509,looks like someone really ruffed her up!,-1,Family roles
44049,remember last summer when we were inundated with no-see-ums.,-1,Family roles
44048,"they're female, can i watch?",-1,Family roles
44064,"shucks, i lost my last girlfriend this way.",-1,Family roles
44063,"deet, deet, deet, deet, deet, deet, deet...deet, deet, deet, deet, deet...so here's to using deet  mrs. robinson...",-1,Family roles
44058,what should i tell your mother?,-1,Family roles
44002,i think you're making a mistake. she isn't as sweet as she looks.,-1,Family roles
44000,put her down; we prefer o negative.,-1,Family roles
43997,lets put her here as if she were talking to the other human,-1,Family roles
43994,the new neighbors really know how to suck the wife out of a party.,-1,Family roles
43993,"actually, jessica, i do think you’re getting carried away...",-1,Family roles
5539,i keep telling her to wash it in hot water.,-1,Family roles
5537,"yee, that's lady milstone, she'll grind you up.",-1,Family roles
5535,it was the only way to stop her from talking.,-1,Family roles
5534,she's yet another boleyn girl.,-1,Family roles
5530,she told her dressmaker she wanted to fit into a smaller size next month.,-1,Family roles
5527,even her goiter is perfect!,-1,Family roles
44020,have her home by 11:00!!!,-1,Family roles
44016,nice of you to bring her back.,-1,Family roles
20951,i bagged her in 1961 on the singles weekend in the catskill mountains when i met your mother.,-1,Family roles
44012,do you have your friend christine's phone number?,-1,Family roles
44036,"you were closer than six feet, eleanor. i warned you there would be consequences. 

“i warned you.",-1,Family roles
5555,evidently she's tired of rich braggarts grabbing her cheeks.,-1,Family roles
5554,"she said, ""concussion protocol,"" whatever that is.",-1,Family roles
5553,that's how queens attempt to stay virgin.,-1,Family roles
5552,"take heed, thy lady has a cold sore.",-1,Family roles
5548,i say she needs to cut down on the starch?,-1,Family roles
5547,she tends to over do things sometimes!,-1,Family roles
5546,she does tend to overdo.,-1,Family roles
5543,that's lady filtrina from the house of fram.,-1,Family roles
43988,"daddy, what does pop her cherry mean?",-1,Family roles
43984,i’m telling mom if that isn’t a nerf,-1,Family roles
43981,and now to pop my wife’s cherry,-1,Family roles
43977,should i just hit her in the head?,-1,Family roles
43976,this is the only way my mom will let me give up my cherry.,-1,Family roles
43974,should i ask first? is that lame? respectful? maybe she just wants to be left balancing a cherry on her head in peace...,-1,Family roles
43973,"yes, the teacher said i did my math best under pressure, but she didn't mean that!",-1,Family roles
44003,"proboscis,"" susan. not ""stinger.",-1,Family roles
5571,"there's cordelia takata with her new invention, she calls it an 'airbag.'",-1,Family roles
5570,"she's a see no evil, hear no evil, speak no evil kind of person.",-1,Family roles
5567,that ought to keep her quite for awhile,-1,Family roles
5564,i believe she used too much starch.,-1,Family roles
5563,"she has a flea problem, you know.",-1,Family roles
5562,"yes, she's wealthy, but think about what you'd be marrying into.",-1,Family roles
5557,'tis pity she's a bore,-1,Family roles
43972,mom’s not gonna be happy when she hears you drank the old fashioned  first then put this cherry on my head.,-1,Family roles
43970,"i bet your wondering how i got here. well, it all started in the summer of...",-1,Family roles
43967,"ironically, your mother and i started dating because of a maraschino cherry.",-1,Family roles
43966,the question isn't will you hit the cherry but will mom kill you for trying...,-1,Family roles
43965,"oh by the way, sorry i had sex with your wife. and the donkey.",-1,Family roles
43963,little girl: maybe i should be the shooter!,-1,Family roles
43960,your mother and i are... getting a divorce.,-1,Family roles
43957,just remember i know where mom hides the chocolate.,-1,Family roles
5556,she hasn't had a cough since she got it.,-1,Family roles
5574,it's ruff to be queen.,-1,Family roles
5573,"she was a finalist in the great british baking show, and it went to her head!",-1,Family roles
43955,"mom said slice up the cherries, she’s tired of apple pie.",-1,Family roles
43954,"when i tell mom you took my lucky arrow, you're not going to be allowed to use xbox for a month.",-1,Family roles
43953,"daddy, stop referring to it as your little girl's cherry.",-1,Family roles
43952,mom said we should try a cherrrrry!,-1,Family roles
43951,wait. i think we should revisit that story you used to tell me about grandma and breastfeeding.,-1,Family roles
43950,you didn't look worried when you popped linda's cherry.,-1,Family roles
43948,please stop pointing that thing at my lady business!,-1,Family roles
43946,my skinny sister would make a much easier target.,-1,Family roles
43945,"and if you miss, what does mom get?",-1,Family roles
43944,mom will kill me if i'll get cherry stains on my pants!,-1,Family roles
43943,"this isn't what i had in mind when she asked me to ""pop her cherry""...",-1,Family roles
43942,"youve got this, right?"" and those were her last word",-1,Family roles
43941,"skillful marksman misses target, instead takes off girl's wig.",-1,Family roles
5572,it looks like she found a way to hide her goiter.,-1,Family roles
43938,end of the road for her ;),-1,Family roles
43933,well i'll be telling mum when she picks me up...hello custody battle ;),-1,Family roles
43932,"""i saw you and mom having sex.""",-1,Family roles
43928,mother says it's the cherry on her little cupcake.,-1,Family roles
43927,carla's daddy assures her this is not the end of the road.,-1,Family roles
43926,"mom will not be happy, this cherry is for the pie.",-1,Family roles
43925,"mom said she needed kirsh for the muffins, not cherry shots.",-1,Family roles
5603,hark! she's wearing the kissing bandit defense system.,-1,Family roles
5601,she's always had a fear of vampires.,-1,Family roles
5600,i'm not quite sure what's different about her either. maybe she's highlighted her hair?,-1,Family roles
5591,well at least she hasn't chewed on her elbow in weeks.,-1,Family roles
5583,she can be a royal showoff.,-1,Family roles
5580,wonder who ruffed her up?,-1,Family roles
5577,"ironically, it was a no-frills way to get her to stop gossiping!",-1,Family roles
5576,only when she drools.,-1,Family roles
5575,it does wonders for her personality..,-1,Family roles
5615,a most compleat lady.,-1,Family roles
5614,she has only a ruff idea when it comes to fashion.,-1,Family roles
5612,it can be used as a flotation device when she makes the plunge.,-1,Family roles
