Occupation,Job Zone,Code,Synonyms
precision device inspector,,,"['precision device inspector', 'precision device inspectors']"
precision engineer,,,"['precision engineer', 'precision engineers']"
precision instrument assembler,,,"['precision instrument assembler', 'precision instrument assemblers']"
precision mechanic,,,"['precision mechanic', 'precision mechanics']"
precision mechanics supervisor,,,"['precision mechanics supervisor', 'precision mechanics supervisors']"
predictive maintenance expert,,,"['predictive maintenance expert', 'predictive maintenance experts']"
prepared meals nutritionist,,,"['prepared meals nutritionist', 'prepared meals nutritionists']"
prepared meat operator,,,"['prepared meat operator', 'prepared meat operators']"
prepress operator,,,"['prepress operator', 'prepress operators']"
prepress technician,,,"['prepress technician', 'prepress technicians']"
presenter,,,"['presenter', 'presenters']"
press manager,,,"['press manager', 'press managers']"
press seller,,,"['press seller', 'press sellers']"
pricing specialist,,,"['pricing specialist', 'pricing specialists']"
primary school head teacher,,,"['primary school head teacher', 'primary school head teachers']"
primary school teacher,,,"['primary school teacher', 'primary school teachers']"
primary school teaching assistant,,,"['primary school teaching assistant', 'primary school teaching assistants']"
print folding operator,,,"['print folding operator', 'print folding operators']"
print studio supervisor,,,"['print studio supervisor', 'print studio supervisors']"
printed circuit board assembler,,,"['printed circuit board assembler', 'printed circuit board assemblers']"
printed circuit board designer,,,"['printed circuit board designer', 'printed circuit board designers']"
printed circuit board test technician,,,"['printed circuit board test technician', 'printed circuit board test technicians']"
printing textile technician,,,"['printing textile technician', 'printing textile technicians']"
printmaker,,,"['printmaker', 'printmakers']"
prison instructor,,,"['prison instructor', 'prison instructors']"
prison officer,,,"['prison officer', 'prison officers']"
private chauffeur,,,"['private chauffeur', 'private chauffeurs']"
private chef,,,"['private chef', 'private chefs']"
private detective,,,"['private detective', 'private detectives']"
private pilot,,,"['private pilot', 'private pilots']"
process control programmer,,,"['process control programmer', 'process control programmers']"
process engineer,,,"['process engineer', 'process engineers']"
process engineering technician,,,"['process engineering technician', 'process engineering technicians']"
process metallurgist,,,"['process metallurgist', 'process metallurgists']"
process officer,,,"['process officer', 'process officers']"
procurement category specialist,,,"['procurement category specialist', 'procurement category specialists']"
procurement department manager,,,"['procurement department manager', 'procurement department managers']"
procurement support officer,,,"['procurement support officer', 'procurement support officers']"
product assembly inspector,,,"['product assembly inspector', 'product assembly inspectors']"
product development engineering drafter,,,"['product development engineering drafter', 'product development engineering drafters']"
product development engineering technician,,,"['product development engineering technician', 'product development engineering technicians']"
product development manager,,,"['product development manager', 'product development managers']"
product grader,,,"['product grader', 'product graders']"
product manager,,,"['product manager', 'product managers']"
product quality controller,,,"['product quality controller', 'product quality controllers']"
product quality inspector,,,"['product quality inspector', 'product quality inspectors']"
production designer,,,"['production designer', 'production designers']"
production engineer,,,"['production engineer', 'production engineers']"
production engineering technician,,,"['production engineering technician', 'production engineering technicians']"
production plant crane operator,,,"['production plant crane operator', 'production plant crane operators']"
production potter,,,"['production potter', 'production potters']"
production supervisor,,,"['production supervisor', 'production supervisors']"
professional athlete,,,"['professional athlete', 'professional athletes']"
programme funding manager,,,"['programme funding manager', 'programme funding managers']"
programme manager,,,"['programme manager', 'programme managers']"
project manager,,,"['project manager', 'project managers']"
project support officer,,,"['project support officer', 'project support officers']"
promotion assistant,,,"['promotion assistant', 'promotion assistants']"
promotion manager,,,"['promotion manager', 'promotion managers']"
promotions demonstrator,,,"['promotions demonstrator', 'promotions demonstrators']"
prompter,,,"['prompter', 'prompters']"
prop maker,,,"['prop maker', 'prop makers']"
prop master/prop mistres,,,"['prop master/prop mistress', 'prop master/prop mistre']"
property acquisitions manager,,,"['property acquisitions manager', 'property acquisitions managers']"
property appraiser,,,"['property appraiser', 'property appraisers']"
property assistant,,,"['property assistant', 'property assistants']"
property developer,,,"['property developer', 'property developers']"
property insurance underwriter,,,"['property insurance underwriter', 'property insurance underwriters']"
prosecutor,,,"['prosecutor', 'prosecutors']"
prosthetic-orthotics technician,,,"['prosthetic-orthotics technician', 'prosthetic-orthotics technicians']"
prosthetist-orthotist,,,"['prosthetist-orthotist', 'prosthetist-orthotists']"
protection engineer,,,"['protection engineer', 'protection engineers']"
protective clothing apparel manufacturer,,,"['protective clothing apparel manufacturer', 'protective clothing apparel manufacturers']"
psychic,,,"['psychic', 'psychics']"
psychology lecturer,,,"['psychology lecturer', 'psychology lecturers']"
psychotherapist,,,"['psychotherapist', 'psychotherapists']"
public administration manager,,,"['public administration manager', 'public administration managers']"
public affairs consultant,,,"['public affairs consultant', 'public affairs consultants']"
public employment service manager,,,"['public employment service manager', 'public employment service managers']"
public finance accountant,,,"['public finance accountant', 'public finance accountants']"
public funding advisor,,,"['public funding advisor', 'public funding advisors']"
public health policy officer,,,"['public health policy officer', 'public health policy officers']"
public housing manager,,,"['public housing manager', 'public housing managers']"
public procurement specialist,,,"['public procurement specialist', 'public procurement specialists']"
public relations manager,,,"['public relations manager', 'public relations managers']"
public relations officer,,,"['public relations officer', 'public relations officers']"
public speaking coach,,,"['public speaking coach', 'public speaking coaches']"
publications coordinator,,,"['publications coordinator', 'publications coordinators']"
publishing rights manager,,,"['publishing rights manager', 'publishing rights managers']"
pulp control operator,,,"['pulp control operator', 'pulp control operators']"
pulp grader,,,"['pulp grader', 'pulp graders']"
pulp technician,,,"['pulp technician', 'pulp technicians']"
pultrusion machine operator,,,"['pultrusion machine operator', 'pultrusion machine operators']"
pump operator,,,"['pump operator', 'pump operators']"
punch press operator,,,"['punch press operator', 'punch press operators']"
puppet designer,,,"['puppet designer', 'puppet designers']"
puppeteer,,,"['puppeteer', 'puppeteers']"
purchase planner,,,"['purchase planner', 'purchase planners']"
purchaser,,,"['purchaser', 'purchasers']"
purchasing manager,,,"['purchasing manager', 'purchasing managers']"
pyrotechnic designer,,,"['pyrotechnic designer', 'pyrotechnic designers']"
pyrotechnician,,,"['pyrotechnician', 'pyrotechnicians']"
pyrotechnics drying room attendant,,,"['pyrotechnics drying room attendant', 'pyrotechnics drying room attendants']"
quality engineer,,,"['quality engineer', 'quality engineers']"
quality engineering technician,,,"['quality engineering technician', 'quality engineering technicians']"
quality services manager,,,"['quality services manager', 'quality services managers']"
quantity surveyor,,,"['quantity surveyor', 'quantity surveyors']"
quarry engineer,,,"['quarry engineer', 'quarry engineers']"
quarry manager,,,"['quarry manager', 'quarry managers']"
quick service restaurant crew member,,,"['quick service restaurant crew member', 'quick service restaurant crew members']"
quick service restaurant team leader,,,"['quick service restaurant team leader', 'quick service restaurant team leaders']"
race track operator,,,"['race track operator', 'race track operators']"
radiation protection officer,,,"['radiation protection officer', 'radiation protection officers']"
radiation protection technician,,,"['radiation protection technician', 'radiation protection technicians']"
radiation therapist,,,"['radiation therapist', 'radiation therapists']"
radio producer,,,"['radio producer', 'radio producers']"
radio technician,,,"['radio technician', 'radio technicians']"
rail construction supervisor,,,"['rail construction supervisor', 'rail construction supervisors']"
rail intermodal equipment operator,,,"['rail intermodal equipment operator', 'rail intermodal equipment operators']"
rail layer,,,"['rail layer', 'rail layers']"
rail logistics coordinator,,,"['rail logistics coordinator', 'rail logistics coordinators']"
rail maintenance technician,,,"['rail maintenance technician', 'rail maintenance technicians']"
rail operations manager,,,"['rail operations manager', 'rail operations managers']"
rail project engineer,,,"['rail project engineer', 'rail project engineers']"
rail switchperson,,,"['rail switchperson', 'rail switchpeople']"
rail traffic controller,,,"['rail traffic controller', 'rail traffic controllers']"
railway car upholsterer,,,"['railway car upholsterer', 'railway car upholsterers']"
railway electronic technician,,,"['railway electronic technician', 'railway electronic technicians']"
railway infrastructure inspector,,,"['railway infrastructure inspector', 'railway infrastructure inspectors']"
railway passenger service agent,,,"['railway passenger service agent', 'railway passenger service agents']"
railway sales agent,,,"['railway sales agent', 'railway sales agents']"
railway station manager,,,"['railway station manager', 'railway station managers']"
raw material reception operator,,,"['raw material reception operator', 'raw material reception operators']"
raw materials distribution manager,,,"['raw materials distribution manager', 'raw materials distribution managers']"
raw materials warehouse specialist,,,"['raw materials warehouse specialist', 'raw materials warehouse specialists']"
real estate agent,,,"['real estate agent', 'real estate agents']"
real estate investor,,,"['real estate investor', 'real estate investors']"
real estate leasing manager,,,"['real estate leasing manager', 'real estate leasing managers']"
real estate manager,,,"['real estate manager', 'real estate managers']"
real estate surveyor,,,"['real estate surveyor', 'real estate surveyors']"
record press operator,,,"['record press operator', 'record press operators']"
recording studio technician,,,"['recording studio technician', 'recording studio technicians']"
recreation attendant,,,"['recreation attendant', 'recreation attendants']"
recreation model maker,,,"['recreation model maker', 'recreation model makers']"
recreation policy officer,,,"['recreation policy officer', 'recreation policy officers']"
recreational facilities manager,,,"['recreational facilities manager', 'recreational facilities managers']"
recreational therapist,,,"['recreational therapist', 'recreational therapists']"
recruitment consultant,,,"['recruitment consultant', 'recruitment consultants']"
recycling specialist,,,"['recycling specialist', 'recycling specialists']"
refinery shift manager,,,"['refinery shift manager', 'refinery shift managers']"
refining machine operator,,,"['refining machine operator', 'refining machine operators']"
refrigeration air condition technician,,,"['refrigeration air condition technician', 'refrigeration air condition technicians']"
refrigeration engineering technician,,,"['refrigeration engineering technician', 'refrigeration engineering technicians']"
refurbishing technician,,,"['refurbishing technician', 'refurbishing technicians']"
refuse collector,,,"['refuse collector', 'refuse collectors']"
refuse vehicle driver,,,"['refuse vehicle driver', 'refuse vehicle drivers']"
regional development policy officer,,,"['regional development policy officer', 'regional development policy officers']"
regulatory affairs manager,,,"['regulatory affairs manager', 'regulatory affairs managers']"
rehabilitation support worker,,,"['rehabilitation support worker', 'rehabilitation support workers']"
relationship banking manager,,,"['relationship banking manager', 'relationship banking managers']"
religion scientific researcher,,,"['religion scientific researcher', 'religion scientific researchers']"
religious education teacher at secondary school,,,"['religious education teacher at secondary school', 'religious education teacher at secondary schools']"
religious studies lecturer,,,"['religious studies lecturer', 'religious studies lecturers']"
relocation officer,,,"['relocation officer', 'relocation officers']"
remote sensing technician,,,"['remote sensing technician', 'remote sensing technicians']"
renewable energy consultant,,,"['renewable energy consultant', 'renewable energy consultants']"
renewable energy engineer,,,"['renewable energy engineer', 'renewable energy engineers']"
renewable energy sales representative,,,"['renewable energy sales representative', 'renewable energy sales representatives']"
rental manager,,,"['rental manager', 'rental managers']"
rental service representative,,,"['rental service representative', 'rental service representatives']"
repair engineer,,,"['repair engineer', 'repair engineers']"
reprographics technician,,,"['reprographics technician', 'reprographics technicians']"
rescue centre manager,,,"['rescue centre manager', 'rescue centre managers']"
rescue diver,,,"['rescue diver', 'rescue divers']"
research engineer,,,"['research engineer', 'research engineers']"
research manager,,,"['research manager', 'research managers']"
residential childcare worker,,,"['residential childcare worker', 'residential childcare workers']"
residential home adult care worker,,,"['residential home adult care worker', 'residential home adult care workers']"
residential home older adult care worker,,,"['residential home older adult care worker', 'residential home older adult care workers']"
residential home young people care worker,,,"['residential home young people care worker', 'residential home young people care workers']"
resilient floor layer,,,"['resilient floor layer', 'resilient floor layers']"
resource manager,,,"['resource manager', 'resource managers']"
respiratory therapy technician,,,"['respiratory therapy technician', 'respiratory therapy technicians']"
restaurant host/restaurant hostes,,,"['restaurant host/restaurant hostess', 'restaurant host/restaurant hoste']"
restaurant manager,,,"['restaurant manager', 'restaurant managers']"
retail department manager,,,"['retail department manager', 'retail department managers']"
retail entrepreneur,,,"['retail entrepreneur', 'retail entrepreneurs']"
rewinding operator,,,"['rewinding operator', 'rewinding operators']"
rigging supervisor,,,"['rigging supervisor', 'rigging supervisors']"
riveter,,,"['riveter', 'riveters']"
road construction supervisor,,,"['road construction supervisor', 'road construction supervisors']"
road construction worker,,,"['road construction worker', 'road construction workers']"
road maintenance technician,,,"['road maintenance technician', 'road maintenance technicians']"
road maintenance worker,,,"['road maintenance worker', 'road maintenance workers']"
road marker,,,"['road marker', 'road markers']"
road operations manager,,,"['road operations manager', 'road operations managers']"
road roller operator,,,"['road roller operator', 'road roller operators']"
road sign installer,,,"['road sign installer', 'road sign installers']"
road transport division manager,,,"['road transport division manager', 'road transport division managers']"
road transport maintenance scheduler,,,"['road transport maintenance scheduler', 'road transport maintenance schedulers']"
roadside vehicle technician,,,"['roadside vehicle technician', 'roadside vehicle technicians']"
robotics engineering technician,,,"['robotics engineering technician', 'robotics engineering technicians']"
rolling stock assembler,,,"['rolling stock assembler', 'rolling stock assemblers']"
rolling stock assembly inspector,,,"['rolling stock assembly inspector', 'rolling stock assembly inspectors']"
rolling stock assembly supervisor,,,"['rolling stock assembly supervisor', 'rolling stock assembly supervisors']"
rolling stock electrician,,,"['rolling stock electrician', 'rolling stock electricians']"
rolling stock engine inspector,,,"['rolling stock engine inspector', 'rolling stock engine inspectors']"
rolling stock engine tester,,,"['rolling stock engine tester', 'rolling stock engine testers']"
rolling stock engineer,,,"['rolling stock engineer', 'rolling stock engineers']"
rolling stock engineering drafter,,,"['rolling stock engineering drafter', 'rolling stock engineering drafters']"
rolling stock engineering technician,,,"['rolling stock engineering technician', 'rolling stock engineering technicians']"
rolling stock inspector,,,"['rolling stock inspector', 'rolling stock inspectors']"
roofing supervisor,,,"['roofing supervisor', 'roofing supervisors']"
room attendant,,,"['room attendant', 'room attendants']"
rooms division manager,,,"['rooms division manager', 'rooms division managers']"
rotating equipment engineer,,,"['rotating equipment engineer', 'rotating equipment engineers']"
rotating equipment mechanic,,,"['rotating equipment mechanic', 'rotating equipment mechanics']"
roughneck,,,"['roughneck', 'roughnecks']"
router operator,,,"['router operator', 'router operators']"
rubber cutting machine tender,,,"['rubber cutting machine tender', 'rubber cutting machine tenders']"
rubber dipping machine operator,,,"['rubber dipping machine operator', 'rubber dipping machine operators']"
rubber goods assembler,,,"['rubber goods assembler', 'rubber goods assemblers']"
rubber products machine operator,,,"['rubber products machine operator', 'rubber products machine operators']"
rubber products manufacturing supervisor,,,"['rubber products manufacturing supervisor', 'rubber products manufacturing supervisors']"
rubber technologist,,,"['rubber technologist', 'rubber technologists']"
rustproofer,,,"['rustproofer', 'rustproofers']"
répétiteur,,,"['répétiteur', 'répétiteurs']"
safety engineer,,,"['safety engineer', 'safety engineers']"
safety inspector,,,"['safety inspector', 'safety inspectors']"
safety officer,,,"['safety officer', 'safety officers']"
sales account manager,,,"['sales account manager', 'sales account managers']"
sales assistant,,,"['sales assistant', 'sales assistants']"
sales engineer,,,"['sales engineer', 'sales engineers']"
sales manager,,,"['sales manager', 'sales managers']"
sales processor,,,"['sales processor', 'sales processors']"
sales support assistant,,,"['sales support assistant', 'sales support assistants']"
satellite engineer,,,"['satellite engineer', 'satellite engineers']"
sauce production operator,,,"['sauce production operator', 'sauce production operators']"
sawmill operator,,,"['sawmill operator', 'sawmill operators']"
scanning operator,,,"['scanning operator', 'scanning operators']"
scenery technician,,,"['scenery technician', 'scenery technicians']"
scenic painter,,,"['scenic painter', 'scenic painters']"
school bus attendant,,,"['school bus attendant', 'school bus attendants']"
science teacher secondary school,,,"['science teacher secondary school', 'science teacher secondary schools']"
scientific laboratory technician,,,"['scientific laboratory technician', 'scientific laboratory technicians']"
scopist,,,"['scopist', 'scopists']"
scrap distribution manager,,,"['scrap distribution manager', 'scrap distribution managers']"
scrap metal operative,,,"['scrap metal operative', 'scrap metal operatives']"
scraper operator,,,"['scraper operator', 'scraper operators']"
screen making technician,,,"['screen making technician', 'screen making technicians']"
screen printer,,,"['screen printer', 'screen printers']"
screw machine operator,,,"['screw machine operator', 'screw machine operators']"
script supervisor,,,"['script supervisor', 'script supervisors']"
script writer,,,"['script writer', 'script writers']"
seafood shop manager,,,"['seafood shop manager', 'seafood shop managers']"
seafood specialised seller,,,"['seafood specialised seller', 'seafood specialised sellers']"
search engine optimisation expert,,,"['search engine optimisation expert', 'search engine optimisation experts']"
second officer,,,"['second officer', 'second officers']"
second-hand goods specialised seller,,,"['second-hand goods specialised seller', 'second-hand goods specialised sellers']"
second-hand shop manager,,,"['second-hand shop manager', 'second-hand shop managers']"
secondary school department head,,,"['secondary school department head', 'secondary school department heads']"
secondary school head teacher,,,"['secondary school head teacher', 'secondary school head teachers']"
secondary school teacher,,,"['secondary school teacher', 'secondary school teachers']"
secondary school teaching assistant,,,"['secondary school teaching assistant', 'secondary school teaching assistants']"
secretary general,,,"['secretary general', 'secretary generals']"
secretary of state,,,"['secretary of state', 'secretary of states']"
sectional belt mould assembler,,,"['sectional belt mould assembler', 'sectional belt mould assemblers']"
securities analyst,,,"['securities analyst', 'securities analysts']"
securities broker,,,"['securities broker', 'securities brokers']"
securities trader,,,"['securities trader', 'securities traders']"
securities underwriter,,,"['securities underwriter', 'securities underwriters']"
security alarm investigator,,,"['security alarm investigator', 'security alarm investigators']"
security alarm technician,,,"['security alarm technician', 'security alarm technicians']"
security consultant,,,"['security consultant', 'security consultants']"
security guard,,,"['security guard', 'security guards']"
security guard supervisor,,,"['security guard supervisor', 'security guard supervisors']"
security manager,,,"['security manager', 'security managers']"
seismologist,,,"['seismologist', 'seismologists']"
semiconductor processor,,,"['semiconductor processor', 'semiconductor processors']"
sensor engineer,,,"['sensor engineer', 'sensor engineers']"
sensor engineering technician,,,"['sensor engineering technician', 'sensor engineering technicians']"
sensory scientist,,,"['sensory scientist', 'sensory scientists']"
septic tank servicer,,,"['septic tank servicer', 'septic tank servicers']"
sergeant,,,"['sergeant', 'sergeants']"
service manager,,,"['service manager', 'service managers']"
services manager,,,"['services manager', 'services managers']"
set builder,,,"['set builder', 'set builders']"
set buyer,,,"['set buyer', 'set buyers']"
set designer,,,"['set designer', 'set designers']"
sewer construction supervisor,,,"['sewer construction supervisor', 'sewer construction supervisors']"
sewer construction worker,,,"['sewer construction worker', 'sewer construction workers']"
sewerage cleaner,,,"['sewerage cleaner', 'sewerage cleaners']"
sewerage maintenance technician,,,"['sewerage maintenance technician', 'sewerage maintenance technicians']"
sewerage network operative,,,"['sewerage network operative', 'sewerage network operatives']"
sewerage systems manager,,,"['sewerage systems manager', 'sewerage systems managers']"
sewing machinist,,,"['sewing machinist', 'sewing machinists']"
sexual violence counsellor,,,"['sexual violence counsellor', 'sexual violence counsellors']"
sheep breeder,,,"['sheep breeder', 'sheep breeders']"
sheet metal worker,,,"['sheet metal worker', 'sheet metal workers']"
shelf filler,,,"['shelf filler', 'shelf fillers']"
shepherd,,,"['shepherd', 'shepherds']"
shiatsu practitioner,,,"['shiatsu practitioner', 'shiatsu practitioners']"
ship assistant engineer,,,"['ship assistant engineer', 'ship assistant engineers']"
ship duty engineer,,,"['ship duty engineer', 'ship duty engineers']"
ship pilot dispatcher,,,"['ship pilot dispatcher', 'ship pilot dispatchers']"
ship planner,,,"['ship planner', 'ship planners']"
ship steward/ship stewardes,,,"['ship steward/ship stewardess', 'ship steward/ship stewarde']"
shipbroker,,,"['shipbroker', 'shipbrokers']"
shipping agent,,,"['shipping agent', 'shipping agents']"
shipwright,,,"['shipwright', 'shipwrights']"
shoe manager,,,"['shoe manager', 'shoe managers']"
shoe repairer,,,"['shoe repairer', 'shoe repairers']"
shoe seller,,,"['shoe seller', 'shoe sellers']"
shoemaker,,,"['shoemaker', 'shoemakers']"
shop assistant,,,"['shop assistant', 'shop assistants']"
shop manager,,,"['shop manager', 'shop managers']"
shop supervisor,,,"['shop supervisor', 'shop supervisors']"
shotfirer,,,"['shotfirer', 'shotfirers']"
shunter,,,"['shunter', 'shunters']"
sign language interpreter,,,"['sign language interpreter', 'sign language interpreters']"
sign language teacher,,,"['sign language teacher', 'sign language teachers']"
sign maker,,,"['sign maker', 'sign makers']"
silversmith,,,"['silversmith', 'silversmiths']"
ski instructor,,,"['ski instructor', 'ski instructors']"
ski lift operator,,,"['ski lift operator', 'ski lift operators']"
skipper,,,"['skipper', 'skippers']"
slate mixer,,,"['slate mixer', 'slate mixers']"
slitter operator,,,"['slitter operator', 'slitter operators']"
smart city consultant,,,"['smart city consultant', 'smart city consultants']"
smart home engineer,,,"['smart home engineer', 'smart home engineers']"
smart home installer,,,"['smart home installer', 'smart home installers']"
snow-clearing worker,,,"['snow-clearing worker', 'snow-clearing workers']"
snowboard instructor,,,"['snowboard instructor', 'snowboard instructors']"
soap chipper,,,"['soap chipper', 'soap chippers']"
soap drier operator,,,"['soap drier operator', 'soap drier operators']"
soap maker,,,"['soap maker', 'soap makers']"
soap tower operator,,,"['soap tower operator', 'soap tower operators']"
social care worker,,,"['social care worker', 'social care workers']"
social counsellor,,,"['social counsellor', 'social counsellors']"
social entrepreneur,,,"['social entrepreneur', 'social entrepreneurs']"
social pedagogue,,,"['social pedagogue', 'social pedagogues']"
social security administrator,,,"['social security administrator', 'social security administrators']"
social security inspector,,,"['social security inspector', 'social security inspectors']"
social security officer,,,"['social security officer', 'social security officers']"
social service consultant,,,"['social service consultant', 'social service consultants']"
social services manager,,,"['social services manager', 'social services managers']"
social services policy officer,,,"['social services policy officer', 'social services policy officers']"
social work assistant,,,"['social work assistant', 'social work assistants']"
social work lecturer,,,"['social work lecturer', 'social work lecturers']"
social work practice educator,,,"['social work practice educator', 'social work practice educators']"
social work researcher,,,"['social work researcher', 'social work researchers']"
social work supervisor,,,"['social work supervisor', 'social work supervisors']"
sociologist,,,"['sociologist', 'sociologists']"
sociology lecturer,,,"['sociology lecturer', 'sociology lecturers']"
software analyst,,,"['software analyst', 'software analysts']"
software distribution manager,,,"['software distribution manager', 'software distribution managers']"
software manager,,,"['software manager', 'software managers']"
software specialised seller,,,"['software specialised seller', 'software specialised sellers']"
software tester,,,"['software tester', 'software testers']"
soil scientist,,,"['soil scientist', 'soil scientists']"
soil surveying technician,,,"['soil surveying technician', 'soil surveying technicians']"
solar energy engineer,,,"['solar energy engineer', 'solar energy engineers']"
solar energy sales consultant,,,"['solar energy sales consultant', 'solar energy sales consultants']"
solar energy technician,,,"['solar energy technician', 'solar energy technicians']"
solar power plant operator,,,"['solar power plant operator', 'solar power plant operators']"
sole operator,,,"['sole operator', 'sole operators']"
solid waste operator,,,"['solid waste operator', 'solid waste operators']"
sommelier,,,"['sommelier', 'sommeliers']"
sophrologist,,,"['sophrologist', 'sophrologists']"
sorter labourer,,,"['sorter labourer', 'sorter labourers']"
sound artist,,,"['sound artist', 'sound artists']"
sound designer,,,"['sound designer', 'sound designers']"
sound editor,,,"['sound editor', 'sound editors']"
sound mastering engineer,,,"['sound mastering engineer', 'sound mastering engineers']"
sound operator,,,"['sound operator', 'sound operators']"
spa attendant,,,"['spa attendant', 'spa attendants']"
spa manager,,,"['spa manager', 'spa managers']"
space science lecturer,,,"['space science lecturer', 'space science lecturers']"
spark erosion machine operator,,,"['spark erosion machine operator', 'spark erosion machine operators']"
special educational needs assistant,,,"['special educational needs assistant', 'special educational needs assistants']"
special educational needs coordinator,,,"['special educational needs coordinator', 'special educational needs coordinators']"
special educational needs head teacher,,,"['special educational needs head teacher', 'special educational needs head teachers']"
special educational needs itinerant teacher,,,"['special educational needs itinerant teacher', 'special educational needs itinerant teachers']"
special educational needs teacher,,,"['special educational needs teacher', 'special educational needs teachers']"
special educational needs teacher primary school,,,"['special educational needs teacher primary school', 'special educational needs teacher primary schools']"
special educational needs teacher secondary school,,,"['special educational needs teacher secondary school', 'special educational needs teacher secondary schools']"
special effects artist,,,"['special effects artist', 'special effects artists']"
special forces officer,,,"['special forces officer', 'special forces officers']"
special-interest groups' official,,,"[""special-interest groups' official"", ""special-interest groups' officials""]"
specialised antique dealer,,,"['specialised antique dealer', 'specialised antique dealers']"
specialised doctor,,,"['specialised doctor', 'specialised doctors']"
specialised goods distribution manager,,,"['specialised goods distribution manager', 'specialised goods distribution managers']"
specialised outdoor animator,,,"['specialised outdoor animator', 'specialised outdoor animators']"
specialised seller,,,"['specialised seller', 'specialised sellers']"
specialised veterinarian,,,"['specialised veterinarian', 'specialised veterinarians']"
specialist biomedical scientist,,,"['specialist biomedical scientist', 'specialist biomedical scientists']"
specialist chiropractor,,,"['specialist chiropractor', 'specialist chiropractors']"
specialist dentist,,,"['specialist dentist', 'specialist dentists']"
specialist nurse,,,"['specialist nurse', 'specialist nurses']"
specialist pharmacist,,,"['specialist pharmacist', 'specialist pharmacists']"
speech therapist,,,"['speech therapist', 'speech therapists']"
speechwriter,,,"['speechwriter', 'speechwriters']"
spices distribution manager,,,"['spices distribution manager', 'spices distribution managers']"
spinning machine operator,,,"['spinning machine operator', 'spinning machine operators']"
spinning textile operator,,,"['spinning textile operator', 'spinning textile operators']"
spokesperson,,,"['spokesperson', 'spokespeople']"
sport administrator,,,"['sport administrator', 'sport administrators']"
sport facility manager,,,"['sport facility manager', 'sport facility managers']"
sport therapist,,,"['sport therapist', 'sport therapists']"
sporting accessories specialised seller,,,"['sporting accessories specialised seller', 'sporting accessories specialised sellers']"
sporting manager,,,"['sporting manager', 'sporting managers']"
sports coach,,,"['sports coach', 'sports coaches']"
sports equipment repair technician,,,"['sports equipment repair technician', 'sports equipment repair technicians']"
sports good,,,['sports goods']
sports instructor,,,"['sports instructor', 'sports instructors']"
sports journalist,,,"['sports journalist', 'sports journalists']"
sports official,,,"['sports official', 'sports officials']"
sports programme coordinator,,,"['sports programme coordinator', 'sports programme coordinators']"
spot welder,,,"['spot welder', 'spot welders']"
spring maker,,,"['spring maker', 'spring makers']"
sprinkler fitter,,,"['sprinkler fitter', 'sprinkler fitters']"
squadron leader,,,"['squadron leader', 'squadron leaders']"
stage director,,,"['stage director', 'stage directors']"
stage machinist,,,"['stage machinist', 'stage machinists']"
stage manager,,,"['stage manager', 'stage managers']"
stage technician,,,"['stage technician', 'stage technicians']"
stagehand,,,"['stagehand', 'stagehands']"
staircase installer,,,"['staircase installer', 'staircase installers']"
stamping press operator,,,"['stamping press operator', 'stamping press operators']"
stand-in,,,"['stand-in', 'stand-ins']"
stand-up comedian,,,"['stand-up comedian', 'stand-up comedians']"
standalone public buyer,,,"['standalone public buyer', 'standalone public buyers']"
starch converting operator,,,"['starch converting operator', 'starch converting operators']"
starch extraction operator,,,"['starch extraction operator', 'starch extraction operators']"
stationery shop manager,,,"['stationery shop manager', 'stationery shop managers']"
stationery specialised seller,,,"['stationery specialised seller', 'stationery specialised sellers']"
statistical assistant,,,"['statistical assistant', 'statistical assistants']"
statistician,,,"['statistician', 'statisticians']"
steam engineer,,,"['steam engineer', 'steam engineers']"
steam plant operator,,,"['steam plant operator', 'steam plant operators']"
steam turbine operator,,,"['steam turbine operator', 'steam turbine operators']"
steeplejack,,,"['steeplejack', 'steeplejacks']"
steiner school teacher,,,"['steiner school teacher', 'steiner school teachers']"
sterile services technician,,,"['sterile services technician', 'sterile services technicians']"
stevedore,,,"['stevedore', 'stevedores']"
stevedore superintendent,,,"['stevedore superintendent', 'stevedore superintendents']"
steward/stewardes,,,"['steward/stewardess', 'steward/stewarde']"
stock broker,,,"['stock broker', 'stock brokers']"
stock trader,,,"['stock trader', 'stock traders']"
stone driller,,,"['stone driller', 'stone drillers']"
stone engraver,,,"['stone engraver', 'stone engravers']"
stone planer,,,"['stone planer', 'stone planers']"
stone polisher,,,"['stone polisher', 'stone polishers']"
stone splitter,,,"['stone splitter', 'stone splitters']"
stop-motion animator,,,"['stop-motion animator', 'stop-motion animators']"
store detective,,,"['store detective', 'store detectives']"
storyboard artist,,,"['storyboard artist', 'storyboard artists']"
straightening machine operator,,,"['straightening machine operator', 'straightening machine operators']"
strategic planning manager,,,"['strategic planning manager', 'strategic planning managers']"
street artist,,,"['street artist', 'street artists']"
street food vendor,,,"['street food vendor', 'street food vendors']"
street lighting electrician,,,"['street lighting electrician', 'street lighting electricians']"
street performer,,,"['street performer', 'street performers']"
street sweeper,,,"['street sweeper', 'street sweepers']"
street warden,,,"['street warden', 'street wardens']"
stringed musical instrument maker,,,"['stringed musical instrument maker', 'stringed musical instrument makers']"
structural ironwork supervisor,,,"['structural ironwork supervisor', 'structural ironwork supervisors']"
structural ironworker,,,"['structural ironworker', 'structural ironworkers']"
